Date,Amount Salary,Amount BankSC,13 Drews Ct.,Work Related/Other,Description,Description II,Receipt Group,,,,,,,,,,,,,,
11/12/2013,-17,,,,Bar,the Warehouse,,,,,,,,,,,,,,,
11/12/2013,-8.21,,,,Restaurant Meal,Chick-fil-a,,,,,,,,,,,,,,,
11/12/2013,-7.58,,,,Bar,Bay Street Beer Garten,,,,,,,,,,,,,,,
11/12/2013,-28.63,,,,Beer Supplies,"New lid, oatmeal stout ingredients",,,,,,,,,,,,,,,
11/12/2013,-2.6,,,,Beer Supplies,Baking Soda,,,,,,,,,,,,,,,
11/12/2013,-20,,,,Cash,Harris Teeter,,,,,,,,,,,,,,,
11/12/2013,0,,,,Bar,Beir Garten (-10),,,,,,,,,,,,,,,
11/12/2013,-9.94,,,,Restaurant Meal,Ted's Butcher Block,,,,,,,,,,,,,,,
11/12/2013,0,,,,Bar,Royal American (4),,,,,,,,,,,,,,,
11/12/2013,-12.68,,,,Restaurant Meal,Taco Boy,,,,,,,,,,,,,,,
11/12/2013,-4.25,,,,Bar,Blind Tiger,,,,,,,,,,,,,,,
11/12/2013,-105.5,,,,Cash,,,,,,,,,,,,,,,,
11/12/2013,-109.33,,,,Beer Supplies,"Burner, propane tank",,,,,,,,,,,,,,,
11/12/2013,-42.13,,,,Gas,Columbia,,,,,,,,,,,,,,,
11/11/2013,0,,,,Dip,Cash (2.5),,,,,,,,,,,,,,,
11/12/2013,,,,,Bar,(8)Cash Cantina 76,,,,,,,,,,,,,,,
11/13/2013,-20.12,,,,Groceries,Publix,,,,,,,,,,,,,,,
11/15/2013,,,,,Bar,(14) Blind Tiger,,,,,,,,,,,,,,,
11/14/2013,,,,,Dip,(2.50) college,,,,,,,,,,,,,,,
11/16/2013,-38.17,,,,Gas,,,,,,,,,,,,,,,,
11/15/2013,1008.83,,,,Salary,,,,,,,,,,,,,,,,
11/18/2013,,,,,Restaurant Meal,(17) Pizza Man,,,,,,,,,,,,,,,
11/19/2013,-9.08,,,,Restaurant Meal,Nick's Gyro,,,,,,,,,,,,,,,sss
11/19/2013,-29.53,,,,Beer Supplies,Hobby Lobby,,,,,,,,,,,,,,,
11/21/2013,-289.44,,,,Car Repair,"Brake pads, fuel cleaning",,,,,,,,,,,,,,,
11/19/2013,-32,,,,Groceries,Publix,,,,,,,,,,,,,,,
11/21/2013,0,,,,Bar,(3) Cock abus,,,,,,,,,,,,,,,
11/24/2013,-33.18,,,,AT&T Phone Bill,,,,,,,,,,,,,,,,
11/22/2013,-10.36,,,,Beer,,,,,,,,,,,,,,,,
11/22/2013,-32.5,,,,Restaurant Meal,Za's,,,,,,,,,,,,,,,
11/22/2013,-1.65,,,,Coffee,,,,,,,,,,,,,,,,
11/23/2013,0,,,,Beer Supplies,Propane (6),,,,,,,,,,,,,,,
11/24/2013,-47.21,,,,Electricity,,,,,,,,,,,,,,,,
11/23/2013,0,,,,Coffee,)3) Starbucks,,,,,,,,,,,,,,,
11/23/2013,0,,,,Restaurant Meal,(6) Grouchos,,,,,,,,,,,,,,,
11/23/2013,0,,,,Dip,3,,,,,,,,,,,,,,,
11/25/2013,-1.65,,,,Coffee,,,,,,,,,,,,,,,,
11/25/2013,-17.15,,,,Groceries,,,,,,,,,,,,,,,,
11/27/2013,1008.84,,,,Salary,,,,,,,,,,,,,,,,
11/27/2013,-6.55,,,,Bar,Cantina 76,,,,,,,,,,,,,,,
11/27/2013,-25.09,,,,Beer Supplies,Liquid Hobby(tap and new growler),,,,,,,,,,,,,,,
11/29/2013,-11.58,,,,Restaurant Meal,Inakaya,,,,,,,,,,,,,,,
11/29/2013,-85.62,,,,Beer Supplies,"Bottles(50lbs grain, hops, etc.)",,,,,,,,,,,,,,,
11/29/2013,-6.69,,,,Restaurant Meal,Eastbay Deli,,,,,,,,,,,,,,,
11/29/2013,-42.31,,,,Gas,,,,,,,,,,,,,,,,
11/29/2013,-27.88,,,,Gas,,,,,,,,,,,,,,,,
12/2/2013,-875,,,,Rent,,,,,,,,,,,,,,,,
12/2/2013,-51.46,,,,Internet Bill,,,,,,,,,,,,,,,,
12/2/2013,-45.23,,,,Gas,,,,,,,,,,,,,,,,
12/2/2013,-3.55,,,,Beer Supplies,Bleach,,,,,,,,,,,,,,,
12/3/2013,-4.39,,,,Dip,,,,,,,,,,,,,,,,
12/7/2013,0,,,,Beer Supplies,Propane (6),,,,,,,,,,,,,,,
12/7/2013,0,,,,Beer Supplies,Yeast (8),,,,,,,,,,,,,,,
12/7/2013,-6.18,,,,Restaurant Meal,McDonalds,,,,,,,,,,,,,,,
12/7/2013,-10.33,,,,Restaurant Meal,Andy's Deli,,,,,,,,,,,,,,,
12/8/2013,-19.07,,,,Groceries,Publix,,,,,,,,,,,,,,,
12/6/2013,-8.5,,,,Bar,Henry's,,,,,,,,,,,,,,,
12/6/2013,-16.76,,,,Restaurant Meal,Cantina 76,,,,,,,,,,,,,,,
12/6/2013,,233,,,Taxes,Tax Refund SC,,,,,,,,,,,,,,,
12/8/2013,,,,,Dip,3,,,,,,,,,,,,,,,
12/2/2013,-16.5,,,,Bar,Warehouse,,,,,,,,,,,,,,,
12/2/2013,-27.99,,,,Restaurant Meal,Wild Wings,,,,,,,,,,,,,,,
12/2/2013,-25,,,,Bar,East Bay Biergarten,,,,,,,,,,,,,,,
12/8/2013,-59,,,,Gifts,To bev for Neil & Lucy,,,,,,,,,,,,,,,
12/8/2013,-45.97,,,,Gifts,Frances Seward-Let'sgo Guang,,,,,,,,,,,,,,,
12/8/2013,-14,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
12/8/2013,-13.52,,,,Books,Brewing Chemistry-John Palmer,,,,,,,,,,,,,,,
